id,lemma,secondaryForm,partOfSpeech,etymology
721,vinovnik,,m.anim.,
722,grivna,,f.,
723,stimulovati,,v.tr. ipf.,
724,ili,,conj.,
725,zapŀniti,,v.tr. pf.,
727,gnida,,f.,I
728,štopovati,,v.tr. ipf.,
729,skala,,f.,
730,staranny,,adj.,
731,radioaktivny,,adj.,I
732,ustųpati,(+3),v.tr. ipf.,
733,kostny mozòk,,m.,
734,jasny,,adj.,I
736,komunikacija,,f.,
737,pod,(+5),prep.,
738,grebti,,v.tr. ipf.,
739,direktiva,,f.,I
740,jednosť,,f.,
741,jednokråtno,,adv.,
742,tŕpěti,(tŕpi),v.intr. ipf.,I
743,strěljati,,v.intr. ipf.,
745,problem,,m.,
746,mimo,(+2),prep.,
747,kriknųti,,v.tr. pf.,
748,krivy,,adj.,I
749,izglašati,,v.tr. ipf.,
750,odkųd,,adv.,
751,dekembr,,m.sg.,
752,zeleny,,adj.,
753,pedofil,,m.anim.,
754,govoriti,,v.tr. ipf.,I
757,krajny,,adj.,
758,kṙma,,f.,I
759,råzdražlivy,,adj.,
760,demisija,,f.,
761,naslědstvo,,n.,
762,obviniti za,,v.tr. pf.,
763,izvaljnjati,,v.tr. ipf.,I
764,kora,,f.,
765,bok,,m.,
766,ili ... ili ...,,conj.,
767,strah,,m.,
768,fanat,,m.,
769,informacija,,f.,
770,ličny,,adj.,
771,izobraziti,,v.tr. pf.,I
772,demonstracija,,f.,I
773,obezglåviti,,v.tr. pf.,
774,učęstničstvo,,n.sg.,
775,vśųdy,,adv.,I
779,najgorši,,adj.,
780,"vsegda, vsegdy",,adv.,
781,najdti,(najde; našèl),v.tr. pf.,
782,grèměti,(grèmi),v.intr. ipf.,
783,syn,,m.anim.,
784,drugy,,num.ord.,
785,mråvka,,f.,
786,imennik,,m.,
787,klětka,,f.,
788,kljuvati,,v.tr. ipf.,
789,kloniti,,v.tr. ipf.,
791,kråbka,,f.,
792,ona,"(jų, jej, njejų)",pron.pers.,
793,kompanija,,f.,
794,opublikovati,,v.tr. pf.,
796,zaničto,,adv.,
797,odvŕgnųti,,v.tr. pf.,I
799,konferencija,,f.,I
802,vòzråst,,m.,
803,radostny,,adj.,
804,procedura,,f.,I
805,prefiks,,m.,
807,fotografija,,f.,
808,fotografija,,f.,I
809,fotografija,,f.,I
810,konkretny,,adj.,I
811,konkurovati,,v.intr. ipf.,I
812,konkurs,,m.,I
813,samorod,,m.,I
814,samolet,,m.,
815,komnata,,f.,
816,kompozitor,,m.anim.,
817,råztopiti,,v.tr. pf.,I
818,gavrån,,m.anim.,
820,kompeticija,,f.,
821,komplikovati,,v.tr. ipf.,I
822,konflikt,,m.,I
823,kongres,,m.,I
824,konfrontacija,,f.,I
825,ostaviti,,v.tr. pf.,I
826,ogònj,(ognja),m.,
827,glågol,,m.,
828,kopr,,m.,
829,gerb,,m.,
830,uho,(uha/ušese; pl. uši),n.,
831,ukrajinsky,,adj.,
832,kontrolovati,,v.tr. ipf.,
833,za,(+5),prep.,I
834,kopati,,v.tr. ipf.,
835,koordinator,,m.anim.,
836,gigant,,m.anim.,I
837,gladky,,adj.,I
838,rimsky,,adj.,
839,kooperovati,,v.intr. ipf.,
841,hrèbet,,m.,I
842,zapadny,,adj.,
843,zvųk,,m.,
844,konfiskovati,,v.tr. ipf.,
845,tank,,m.,I
846,jež,,m.anim.,I
847,kṙčma,,f.,
848,kordon,,m.,
849,kṙč,,m.,I
850,kṙčiti,,v.tr. ipf.,
851,kamera,,f.,
852,krok,,m.,I
853,politik,,m.anim.,
854,komisaŕ,,m.anim.,I
855,krađa,,f.,I
856,poddŕžati,,v.tr. pf.,
857,korona,,f.,
858,mignųti,,v.intr. pf.,I
859,kṙmiti,,v.tr. ipf.,
860,kraj,,m.,
862,informovany,,adj.,
863,informovati,,v.tr. ipf.,I
864,iny,,adj.,I
865,sŕdcevina,,f.,
866,slědstvo,,n.,
867,korupcija,,f.,
868,kosovsky,,adj.,I
869,pěna,,f.,
870,karp,,m.anim.,
871,kosť,,f.,
872,umirati,,v.intr. ipf.,
873,tŀmačenıje,,n.,
874,iměnıje,,n.,
875,"iměti, imati",(imaje),v.tr. ipf.,
876,iměti pravdų,,v.ipf.,
877,zlåty,,adj.,
878,jaščer,,m.anim.,
879,Latvija,,f.sg.,
880,krųg,,m.,
881,osvoboditi,,v.tr. pf.,
883,cegla,,f.,
884,lègky,,adj.,
885,měrjenıje,,n.,
886,devętnadsęť,,num.card.,
887,radiacija,,f.,
888,minųti,,v.tr. pf.,I
889,lice,(lica/ličese),n.,
890,ov’plyvniti,,v.tr. pf.,
892,matematika,,f.,
893,misija,,f.,
894,lehitsky,,adj.,I
895,krijumčariti,,v.tr. ipf.,I
896,imperator,,m.anim.,
897,indoeùropejsky,,adj.,
898,protestovati,,v.intr. ipf.,I
900,moderny,,adj.,
901,klasti,(klade),v.tr. ipf.,I
902,raport,,m.,I
904,analitik,,m.anim.,
905,mųka,,f.,I
906,činiti,,v.tr. ipf.,I
907,odděljeny,,adj.,
908,pęť,,num.card.,
909,męč,,m.,
910,mogti,,v.aux. ipf.,
911,męčkati,,v.tr. ipf.,
912,ovès,(ovsa),m.sg.,
914,zajědlivosť,,f.,
915,jedinstvèno čislo,,n.,
916,učitelj,,m.anim.,
917,mněnıje,,n.,
918,budovati,,v.tr. ipf.,
919,precedent,,m.,
920,moj,,pron.poss.,
921,poema,,f.,I
922,"musliman, muslimanin",,m.anim.,
925,mlėti,(melje),v.tr. ipf.,I
926,možno,,adv.,I
927,kanja,,f.,
928,mṙkva,,f.,
929,moŕsko dno,,n.,
931,izstavjati,,v.tr. ipf.,
932,zvěŕ,,m.anim.,
934,može byti,,phrase,
935,mozg,,m.,
936,muzej,,m.,
937,každy,,adj.,
938,stṙčiti,,v.intr. ipf.,I
939,zakladati,,v.tr. ipf.,
940,zablokovati,,v.tr. pf.,
941,ukrasti,(ukrade),v.tr. pf.,
942,kde,,adv.,I
943,nagråda,,f.,
944,paljto,,n.,
946,eùro,,n.,
947,ostry,,adj.,
948,načeľnik,,m.anim.,
949,němy,,adj.,
950,narkoman,,m.anim.,
951,mgla,,f.,
952,grabiti,,v.tr. ipf.,I
953,s’kråćenıje,,n.,
955,napadati,,v.tr. ipf.,
956,niva,,f.,
957,napasti,(napade),v.intr. pf.,
958,napisati,(napiše),v.tr. pf.,
959,"versija, verzija",,f.,
960,mahati,,v.intr. ipf.,
961,nos,,m.,
962,obraz,,m.,I
963,nedavny,,adj.,
967,nemnogo,,adv.,
968,nenaviděti,(nenavidi),v.tr. ipf.,
969,naslědnik,,m.anim.,
970,živy,,adj.,
971,nazvany,,adj.,
972,nebesky,,adj.,
973,obranjati,,v.tr. ipf.,
974,tropičny ciklon,,m.,
975,protokol,,m.,
976,trųbiti,,v.tr. ipf.,
977,umrèti,(umre),v.intr. pf.,I
978,uniščiti,,v.tr. pf.,I
979,Portugalija,,f.sg.,
980,veseljanıje,,n.sg.,
981,prošèdši,,adj.,
982,nas,,pron.pers.,
983,někaky,,adj.,
984,němèčsky,,adj.,
985,naučiti sę,,v.refl. pf.,
986,trinadsęť,,num.card.,
988,tron,,m.,
990,oběćati,,v.tr. pf.,
991,glupèc,,m.anim.,
992,neposrėdnje,,adv.,I
993,ničij,,pron.poss.,
994,neporędòk,,m.sg.,
995,galerija,,f.,
996,nesòvŕšeny vid,,m.,
997,nevěsta,,f.,
998,oba,(obě),num.card.,I
999,jediny,,adj.,
1000,obći,,adj.,
1001,někųdy,,adv.,
1002,niže,,adv.,
1003,njuhati,,v.intr. ipf.,
1004,odkydati,,v.tr. ipf.,
1005,objasniti,,v.tr. pf.,
1006,objaviti sę,,v.refl. pf.,
1007,prodŀžati,,v.tr. ipf.,
1009,vinny,,adj.,
1010,naležati,(naleži),v.intr. ipf.,
1011,iskra,,f.,
1012,iskati,(išče),v.tr. ipf.,
1013,narod,,m.,
1014,nož,,m.,
1015,nula,,num.card.,
1016,fond,,m.,
1017,odkryti,,v.tr. pf.,
1018,nedostatòk,,m.,
1019,nezaležnosť,,f.sg.,I
1020,francuzsky,,adj.,
1021,niderlandsky,,adj.,
1022,"četyrista, četyristo",,num.card.,
1023,status,,m.,
1024,posětiti,,v.tr. pf.,
1025,posylati,,v.tr. ipf.,
1027,cěly,,adj.,I
1028,uraza,,f.,
1030,uraziti,,v.tr. pf.,
1031,obrazovanıje,,n.,
1032,obręd,,m.,
1033,za,(+4),prep.,
1034,nositi,,v.tr. ipf.,
1035,ocèt,(octa),m.,
1037,nositi,,v.tr. ipf.,
1038,konj,,m.anim.,
1039,v’slěd,(+2),prep.,
1040,gruzinsky,,adj.,
