id,lemma,secondaryForm,partOfSpeech,etymology
20914,narodopis,,m.,
20915,nastoľna lampa,,f.,
20916,nastoľna světilka,,f.,
20917,občina,,f.,
20918,občiti,,v.intr. ipf.,
20919,občiti s,,v.ipf.,
20920,očevidèc,,m.anim.,
20921,odpadky,,m.pl.,
20924,odpadnik,,m.anim.,
20926,odprava,,f.,
20929,odpraviti,,v.tr. pf.,
20931,odpraviti,,v.tr. pf.,
20933,odpravjati,,v.tr. ipf.,
20934,odpravjati,,v.tr. ipf.,
20935,odpųditi,,v.tr. pf.,
20937,odpušćenıje,,n.,I
20938,odsunųti,,v.tr. pf.,
20940,odsuvati,,v.tr. ipf.,
20942,opekun,,m.anim.,
20943,opekunstvo,,n.sg.,
20944,opirati sę,,v.refl. ipf.,
20947,opora,,f.,
20948,opraviti,,v.tr. pf.,
20951,opraviti,,v.tr. pf.,
20953,opravjati,,v.tr. ipf.,
20957,opravjati,,v.tr. ipf.,
20958,oprėti sę,(opre),v.refl. pf.,
20960,opušćati,,v.tr. ipf.,
20962,opušćati,,v.tr. ipf.,
20966,opustiti,,v.tr. pf.,I
20967,opustiti,,v.tr. pf.,I
20969,opyt,,m.,
20970,padalina,,f.,
20971,padųčnica,,f.,
20972,pasť,,f.,
20975,pastuh,,m.anim.,
20978,pastva,,f.,
20979,pastvišče,,n.,
20980,pastyŕ,,m.anim.,
20981,pastyŕ,,m.anim.,
20983,peć,,m.,
20985,pekaŕ,,m.anim.,
20986,pekarnja,,f.,
20989,pekti sę,,v.refl. ipf.,
20990,pinati,,v.tr. ipf.,
20992,pisaľny stol,,m.,
20993,piśmę,,n.,
20995,piśmo,,n.,
20997,plavati,,v.intr. ipf.,I
20999,plavny,,adj.,I
21001,plåvy,,adj.,
21003,pŀnolětny,,adj.,I
21009,pnųti,,v.tr. pf.,I
21010,podporka,,f.,I
21012,pola,,f.,
21014,poldnik,,m.,
21015,polovnik,,m.anim.,
21018,poprėčnik,,m.,
21019,poprėčny,,adj.,
21021,poprėk,,adv.,
21023,poprųga,,f.,
21024,poštaŕ,,m.anim.,
21025,poštny uręd,,m.,
21026,prašćati,,v.tr. ipf.,
21027,prašćati sę,,v.refl. ipf.,I
21031,praviḓľny,,adj.,I
21033,privilegija,,f.,I
21034,Pravoslavıje,,n.sg.,
21035,pravověrny,,adj.,D
21036,pravy,,adj.,
21038,prėd,(+5),prep.,
21041,prėdnosť,,f.,
21043,prėdpis,,m.,
21045,prėduprėđati,,v.tr. ipf.,
21046,prėduprėđati,,v.tr. ipf.,
21047,prėduprėditi,,v.tr. pf.,I
21048,prėduprėditi,,v.tr. pf.,
21049,prėpirati sę,,v.refl. ipf.,I
21050,prėpiska,,f.,
21052,prėstųpny god,,m.,
21053,prėti,(pre),v.ipf.,
21055,prėtraviti,,v.tr. pf.,
21056,prėtravjati,,v.tr. ipf.,
21057,prėvarjati,,v.tr. ipf.,
21058,prėvariti,,v.tr. pf.,
21059,pręžka,,f.,
21061,pripadati,,v.intr. ipf.,
21063,pripasti,(pripade),v.intr. pf.,
21065,pripęti,(pripne),v.tr. pf.,
21068,pripinati,,v.tr. ipf.,
21073,pripraviti,,v.tr. pf.,
21075,pripraviti,,v.tr. pf.,
21076,pripravjati,,v.tr. ipf.,
21078,pripravjati,,v.tr. ipf.,
21079,pripušćati,,v.tr. ipf.,
21080,pripušćati,,v.tr. ipf.,
21082,pripustiti,,v.tr. pf.,
21083,pripustiti,,v.tr. pf.,
21085,propadati,,v.intr. ipf.,
21086,propadati,,v.intr. ipf.,
21088,propasť,,f.,
21089,propasti,(propade),v.intr. pf.,
21090,propasti,(propade),v.intr. pf.,
21092,propust,,m.,
21093,propust,,m.,
21096,prostak,,m.anim.,
21098,prostak,,m.anim.,
21099,prostiti,,v.tr. pf.,
21100,prostiti sę,,v.refl. pf.,
21103,prųga,,f.,
21105,prųžiti,,v.tr. ipf.,
21107,prųžny,,adj.,
21108,pųditi,,v.tr. ipf.,I
21110,pult,,m.,I
21119,pustošiti,,v.tr. ipf.,
21121,pusty,,adj.,I
21122,pytlivy,,adj.,
21124,råzpętıje,,n.,
21125,råzpętıje,,n.,
21126,råzprja,,f.,
21129,råzprava,,f.,
21130,råzprava,,f.,
21134,råzpušćati,,v.tr. ipf.,
21136,råzpušćati,,v.tr. ipf.,I
21139,råzpustiti,,v.tr. pf.,I
21141,råzpustiti,,v.tr. pf.,
21142,rodopis,,m.sg.,
21143,rodopisèc,,m.anim.,
21144,s’pad,,m.,I
21146,s’pad,,m.,I
21147,s’pasati,,v.tr. ipf.,
21150,s’pasti,,v.tr. pf.,
21151,s’pirati sę,,v.refl. ipf.,
21152,s’pona,,f.,I
21154,s’prėti sę,(s’pre),v.refl. pf.,I
21155,s’pręženıje,,n.,I
21156,s’pušćati,,v.tr. ipf.,
21159,s’pušćati,,v.tr. ipf.,I
21160,s’pust,,m.,S
21161,s’pust,,m.,S
21162,s’pustiti,,v.tr. pf.,S
21165,s’pustiti,,v.tr. pf.,
21167,sųpųtnik,,m.anim.,I
21168,s’vědòk,,m.anim.,
21169,sòobćati,,v.tr. ipf.,
21171,sòobčenıje,,n.,D
21172,sòobčiti,,v.tr. pf.,D
21174,sunųti,,v.tr. pf.,
21176,sųprųgi,,m.pl.,
21178,suvati,,v.tr. ipf.,
21180,tajnopis,,m.,
21181,tajnopisèc,,m.anim.,
21182,travimy,,adj.,
21183,travjenıje,,n.sg.,
21184,udav,,m.anim.,
21185,upadòk,,m.,
21194,upraviti,,v.tr. pf.,
21198,upravjati,,v.tr. ipf.,
21199,v’pręgati,,v.tr. ipf.,
21200,v’pręgti,,v.tr. pf.,
21203,urędnik,,m.anim.,
21205,v’pad,,m.,
21207,v’padati,,v.intr. ipf.,
21209,v’pasti,(v’pade),v.intr. pf.,
21211,varjenıje,,n.sg.,S
21212,varlivy,,adj.,
21215,vypis,,m.,
21225,visokosny god,,m.,
21226,zapona,,f.,
21229,zaponka,,f.,
21230,zapor,,m.,
21231,zapor,,m.,
21232,zapraviti,,v.tr. pf.,
21234,zapravjati,,v.tr. ipf.,
21236,zapręgati,,v.tr. ipf.,
21237,zapręgti,,v.tr. pf.,
21238,zapropastiti sę,,v.refl. pf.,
21239,zapušćati,,v.tr. ipf.,
21240,zapušćeny,,adj.,
21243,zapustiti,,v.tr. pf.,
21244,zaražati,,v.tr. ipf.,
21246,zaraziti,,v.tr. pf.,
21248,zeleninaŕ,,m.anim.,
21249,zemjepis,,m.,
21250,zemjepisèc,,m.anim.,
21251,živopis,,m.,
21253,živopisèc,,m.anim.,
21254,životopis,,m.,
21255,žŕtva,,f.,
21256,aritmetika,,f.sg.,
21257,asteroid,,m.,
21258,astronom,,m.anim.,
21259,barvna olovka,,f.,
21261,bezs’mysľny,,adj.,
21263,bezuslovny,,adj.,
21264,blågorodny,,adj.,
21265,bridž,,m.sg.,
21266,časoslov,,m.,
21268,čto sę tyče,(+2),prep.,
21270,dikobraz,,m.anim.,
21271,dnem,,adv.,
21272,dobaviti,,v.tr. pf.,
21273,dobavjati,,v.tr. ipf.,
21274,domorodny,,adj.,
21275,dosađati,,v.tr. ipf.,
21276,dosaditi,,v.tr. pf.,
21277,dosadny,,adj.,
21280,dovědati sę,,v.refl. ipf.,
21283,dověděti sę,(dově),v.refl. pf.,
21286,džungla,,f.,
21287,elegantny,,adj.,
21288,frak,,m.,
21290,frank,,m.,
21291,geranj,,m.,
21292,golf,,m.sg.,
21293,goloslovny,,adj.,
21295,izdaleka,,adv.,
21298,izolovany,,adj.,
21301,izrěčenıje,,n.,
21303,izrěkati,,v.tr. ipf.,
21305,izrěkti,,v.tr. pf.,
21307,izrođenıje,,n.sg.,
21308,izslědovati,,v.tr. ipf.,
21309,"jednakože, jednakže",,adv.,
21310,jednoobrazny,,adj.,
21311,jednorodnosť,,f.,
21312,jednorodny,,adj.,
21313,Jupiter,,m.sg.,
21314,kariera,,f.,
21315,kojkoli,,pron.indef.,
21316,kolěbati sę,,v.refl. ipf.,
21317,korabokrušenèc,,m.anim.,
21318,korabokrušenıje,,n.,I
21319,krasnorěčivosť,,f.,
21320,krasnorěčivy,,adj.,
21322,ktokoli,,pron.indef.,
21323,lagodno,,adv.,
21327,lagodnosť,,f.,
21331,lagodny,,adj.,
21341,milja,,f.,
21343,mnogorěčivy,,adj.,
21344,mnogoslovny,,adj.,
21345,motor,,m.,
21346,motylj,,m.anim.,
21347,načŕtati,,v.tr. pf.,
21348,naklanjati,,v.tr. ipf.,
21349,nakloniti,,v.tr. pf.,
21350,nalivno pero,,n.,
21351,narěčena,(narěčenoj),f.,
21352,narěčeny,(-ogo),m.anim.,
21353,narěkanıje,,n.,
21354,narěkati,,v.intr. ipf.,
21356,naročity,,adj.,
21360,nasědka,,f.,
21361,nasiľnik,,m.anim.,
21363,naslědovati,,v.tr. ipf.,
21364,nemnožko,,adv.,
21365,neposědlivy,,adj.,
21367,neposlušati,,v.tr. ipf.,
21368,neposlušiti,,v.tr. pf.,
21370,neurođaj,,m.,
21371,noćejų,,adv.,
21372,norka,,f.,
21373,obnarodovati,,v.tr. ipf./pf.,
21375,obòrvanèc,,m.anim.,
21377,obråbotyvati,,v.tr. ipf.,
21378,obrazèc,,m.,
21380,obrazny,,adj.,
21384,obrazòk,,m.,
21385,obrazovanıje,,n.,
21387,obrok,,m.,
21388,obrųb,,m.,
21390,obrųb,,m.,
21392,obrušati sę,,v.refl. ipf.,
21393,obrušiti sę,,v.refl. pf.,
21395,očarovateljny,,adj.,
21396,odosobnjati,,v.tr. ipf.,
21397,odosobniti,,v.tr. pf.,
21398,odračati,,v.tr. ipf.,
21400,odražati,,v.tr. ipf.,
21401,odraziti,,v.tr. pf.,
21402,odrěčny,,adj.,
21404,odrěkati sę,,v.refl. ipf.,
21406,odrěkati,,v.tr. ipf.,
21408,odrěkti,,v.tr. pf.,
21410,odrěkti sę,,v.refl. pf.,
21415,odročiti,,v.tr. pf.,
21417,olovka,,f.,
21418,onesměljati,,v.tr. ipf.,
21419,onesměliti,,v.tr. pf.,
21420,osadòk,,m.,
21422,osiljati,,v.tr. ipf.,
21424,osiliti,,v.tr. pf.,S
21426,podrobnosť,,f.,S
21427,pogrųžati,,v.tr. ipf.,
21428,pogrųziti,,v.tr. pf.,
21429,pokṙčiti ramenami,,v.pf.,
21430,poprava,,f.,
21431,poraziti,,v.tr. pf.,
21433,poražka,,f.,
21434,porok,,m.,
21436,porųčnik,,m.anim.,
21437,porušiti,,v.tr. pf.,
21438,poryv,,m.,
21439,posada,,f.,
21442,posęsti,(posęde),v.tr. pf.,
21443,poslanèc,,m.anim.,
21449,"posrėdnji, posrėdny",,adj.,
21453,postarati sę,,v.refl. pf.,
21455,postarěti,,v.intr. pf.,
21459,pralěs,,m.,
21461,progŀtati,,v.tr. ipf.,
21462,prėkrasny,,adj.,
21464,prėrěčenıje,,n.,
21465,prėrěkati sę,,v.refl. ipf.,
21466,prėrěkti sę,,v.refl. pf.,
21467,prėryv,,m.,S
21469,prėsěčenıje,,n.,S
21470,prėslědovati,,v.tr. ipf.,
21471,prilětati,,v.intr. ipf.,
21472,priletěti,(prilěti),v.intr. pf.,S
21473,prirodopis,,m.sg.,
21474,prirųčnik,,m.,
21476,prispěti,,v.intr. pf.,
21477,prispěvati,,v.intr. ipf.,
21482,privęzati,(privęže),v.tr. pf.,
21483,privęzyvati,,v.tr. ipf.,
21484,protivrěčiti,,v.intr. ipf.,
21485,protrèti,(protre),v.tr. pf.,
21486,pṙskati,,v.intr. ipf.,
21488,pŕvobraz,,m.,
21489,pŕvorodstvo,,n.sg.,
21491,råst,,m.,
21493,råstly,,adj.,
21494,råvnanıje,,n.,
21496,råvnodušny,,adj.,
21497,råvnovaga,,f.,
21499,råvnověsıje,,n.,
21503,raziteljny,,adj.,
21505,raziti,,v.tr. ipf.,
21507,råzkazati,(råzkaže),v.tr. pf.,
21508,råznorodnosť,,f.,
21509,råznorodny,,adj.,
21510,razòm,,adv.,
21517,råzseḓlina,,f.,
21519,råzsvětljati sę,,v.refl. ipf.,
21522,reputacija,,f.,
21523,rod,,m.,
21526,rodoslovıje,,n.,
21528,rųčka,,f.,S
21529,rųčka,,f.,S
21531,rųkav,,m.,S
21532,rųkav,,m.,S
21533,rųkoděľstvo,,n.sg.,S
21536,rušiti,,v.tr. ipf.,
21537,rvati,(rve),v.tr. ipf.,I
21538,rvati,(rve),v.tr. ipf.,I
21539,rvati sę,(rve),v.refl. ipf.,I
21542,rysovanka,,f.,
21543,s’rodstvo,,n.,
21546,s’sědati sę,,v.refl. ipf.,
21547,s’sęsti sę,(s’sęde),v.refl. pf.,
21548,Sahara,,f.sg.,I
21549,samosųd,,m.sg.,
21551,samota,,f.,
21553,samotnosť,,f.,
21554,samovlada,,f.,
21557,samovoljny,,adj.,
21558,samozvanèc,,m.anim.,
21560,seběčnjak,,m.anim.,
21561,sebeljubıje,,n.sg.,
21562,sěča,,f.,
21563,sěča,,f.,
21565,seḓliti sę,,v.refl. ipf.,
21567,sěkųća,,f.,
21568,sęgati,,v.intr. ipf.,I
21570,sęgnųti,,v.intr. pf.,I
21572,sęženj,,f.,
21573,siliti sę,,v.refl. ipf.,I
21575,slati,(slje),v.tr. ipf.,I
21576,slava,,f.,I
21577,slěd,,m.,
21579,slěditi,,v.tr. ipf.,
21580,slynųti,,v.intr. ipf.,I
21581,slyti,(slyne),v.intr. ipf.,
21582,směti,,v.tr. ipf.,
21583,sobstvenosť,,f.,
21585,sobstveny,,adj.,
21586,sŕdèčny,,adj.,
21588,srėdoběžny,,adj.,
21589,srėdotěčny,,adj.,
21590,srėdstvo,,n.,
21591,starati sę,,v.refl. ipf.,
21593,strånny,,adj.,I
21595,sųďja,,m.anim.,I
21596,teleskop,,m.,
21597,thoŕ,,m.anim.,
21598,tonųti,,v.intr. ipf.,
21599,umarjajųći,,adj.,
21601,umorjenıje,,n.sg.,
21603,urěkati,,v.tr. ipf.,
21605,urěkti,,v.tr. pf.,
21607,urođaj,,m.,
21608,uroditi,,v.tr. pf.,
21609,urok,,m.,
21615,usnųti,(usne),v.intr. pf.,I
21618,usŕdny,,adj.,
21620,utonųti,,v.intr. pf.,
21621,utraćati sę,,v.refl. ipf.,I
21623,utratiti sę,,v.refl. pf.,
21628,v’rođeny,,adj.,
21629,v’rųčati,,v.tr. ipf.,
21631,v’rųčiti,,v.tr. pf.,
21633,v’skočiti,,v.intr. pf.,
21634,v’srėd,,adv.,
21636,vòzråst,,m.,
21638,vagati sę,,v.refl. ipf.,
21639,velje,,adv.,
21641,velje,,adv.,
21642,vnųtri,,adv.,
21643,vòobraženıje,,n.,
21649,vyrok,,m.,
21650,zabavny,,adj.,
21652,zablųđati,,v.intr. ipf.,
21655,zablųditi,,v.intr. pf.,
21659,zapoznati,,v.tr. pf.,
21660,zapoznavati,,v.tr. ipf.,
21661,zaråbotati,,v.tr. pf.,
21662,zaråbotyvati,,v.tr. ipf.,
21663,zaradi,(+2),prep.,
21665,zarěkati sę,,v.refl. ipf.,
21667,zarěkti sę,,v.refl. pf.,
21669,zarodòk,,m.,
21670,zarodòk,,m.anim.,
21672,zarodòk,,m.anim.,
21673,zarųčati,,v.tr. ipf.,
21674,zarųčati sę,,v.refl. ipf.,
21675,zarųčiti,,v.tr. pf.,
21676,zarųčiti sę,,v.refl. pf.,
21677,zasada,,f.,
21678,zasědanıje,,n.,
21680,zasvěćati,,v.intr. ipf.,
21682,zasvětiti,,v.intr. pf.,
21685,obråbotati,,v.tr. pf.,
21686,pṙsknųti,,v.intr. pf.,
21687,råzsvětliti sę,,v.refl. pf.,
21688,stojati,(stoji),v.tr. ipf.,
21692,staviti,,v.tr. ipf.,
21694,stavjati,,v.tr. ipf.,
21696,stanoviti,,v.tr. ipf.,
21697,stan,,n.,
21698,statny,,adj.,
21700,stanòk,,m.,
21703,stado,,n.,
21705,staja,,f.,
21706,stojka,,f.,
21708,stojka,,f.,
21709,staly,,adj.,
21710,stavka,,f.,
21711,stavka,,f.,
21713,blågostanıje,,n.sg.,
21715,dostavati,,v.tr. ipf.,
21716,dostatòk,,m.,
21719,dostojny,,adj.,
21720,dostojny,,adj.,
21721,dostojenstvo,,n.,
21722,dostojenstvo,,n.,
21725,dostojnik,,m.anim.,
21726,dostavjati,,v.tr. ipf.,
21727,dostaviti,,v.tr. pf.,
21728,nastavati,,v.intr. ipf.,
21730,nastati,(nastane),v.intr. pf.,
21732,nastojati,(nastoji),v.intr. pf.,
21733,nastavòk,,m.,
21737,nedostatòk,,m.,
21738,ostavjati,,v.tr. ipf.,
21739,ostaviti,,v.tr. pf.,
21741,postojanno,,adv.,
21745,postanavjati,,v.tr. ipf.,
21747,postanoviti,,v.tr. pf.,
21749,postanovjenıje,,n.,
21752,podstava,,f.,
21757,prėstavjati sę,,v.refl. ipf.,
21760,prėstaviti sę,,v.refl. pf.,
21761,prėdstavati,,v.intr. ipf.,
21762,prėdstati,,v.intr. pf.,
21763,prėdstojęći,,adj.,
21765,prostata,,f.,
21766,prėdstavjati,,v.tr. ipf.,
21769,prėdstava,,f.,
21770,pristojati,(pristoji),v.intr. ipf.,
21772,pristojny,,adj.,
21775,pristanj,,m.,
21777,port,,m.,
21778,råzstavati sę,,v.refl. ipf.,
21780,råzstati sę,,v.refl. pf.,
21782,råzstojanıje,,n.,
21784,råzstavjati,,v.tr. ipf.,
21787,råzstaviti,,v.tr. pf.,
21794,sòstav,,m.,
21796,sųstav,,m.,
21798,ustavati,,v.intr. ipf.,
21799,ustati,,v.intr. pf.,
21801,ustaljati,,v.tr. ipf.,
21808,ustaliti,,v.tr. pf.,
21809,ustav,,m.,
21810,ustav,,m.,
21822,v’stavati,,v.intr. ipf.,
21826,vòzstanıje,,n.,
21828,zastavati,,v.tr. ipf.,
21829,zastavati,,v.tr. ipf.,
21830,zastati,,v.tr. pf.,
21831,zastati,,v.tr. pf.,I
21832,zastoj,,m.,
21834,zastavjati,,v.tr. ipf.,
21837,zastaviti,,v.tr. pf.,
21840,zastavjati,,v.tr. ipf.,
21841,zastaviti,,v.tr. pf.,
21842,zastav,,m.,
21847,zastava,,m.,
21848,stignųti,,v.tr. pf.,
21849,stigati,,v.tr. ipf.,
21850,stignųti,,v.tr. pf.,
21852,stigati,,v.tr. ipf.,
21853,dostigati,,v.tr. ipf.,
21854,dostignųti,,v.tr. pf.,
21855,dostigati,,v.tr. ipf.,
21856,dostignųti,,v.tr. pf.,
21862,postigati,,v.tr. ipf.,
21864,postignųti,,v.tr. pf.,
21865,stråna,,f.,
21866,stråna,,f.,
21871,stråniti sę od,,v.refl. ipf.,
21873,inostrånèc,,m.anim.,
21874,odstranjati,,v.tr. ipf.,
21876,odstrånjati,,v.tr. ipf.,
21877,odstranjati,,v.tr. ipf.,
21878,odstråniti,,v.tr. pf.,
21880,odstråniti,,v.tr. pf.,
21881,odstranjati,,v.tr. ipf.,
21882,odstråniti,,v.tr. pf.,
21883,postrånny,,adj.,
21884,postrånny,,adj.,
21885,prostirati,,v.tr. ipf.,
21886,prostirati,,v.tr. ipf.,
21887,prostrėti,(prostre),v.tr. pf.,
21888,prostrėti,(prostre),v.tr. pf.,
21889,prostrånny,,adj.,
21890,prostrånny,,adj.,
21892,råzprostirati,,v.tr. ipf.,
21893,råzprostrėti,(råzprostre),v.tr. pf.,
21894,stradati,,v.intr. ipf.,
21895,strasť,,f.,
21896,pristrastny,,adj.,
21898,sųstradanıje,,n.,
21899,strėgti,,v.tr. ipf.,
21901,strėgti sę,,v.refl. ipf.,
21906,nastråžiti sę,,v.refl. pf.,
21907,strojiti,,v.tr. ipf.,
21909,strojiti,,v.tr. ipf.,
21910,stroj,,m.,
21913,råzstrajati,,v.tr. ipf.,I
21918,råzstrojiti,,v.tr. pf.,
21923,ustrajati,,v.tr. ipf.,
21924,ustrojiti,,v.tr. pf.,
21925,stųpiti,,v.intr. pf.,
21926,stųpati,,v.intr. ipf.,
21927,stųpènj,(stųpnja),m.,
21928,nastųpati,,v.intr. ipf.,
21929,nastųpiti,,v.intr. pf.,
21930,obstųpati,,v.tr. ipf.,
21931,obstųpiti,,v.tr. pf.,
21934,odstųpati,,v.intr. ipf.,
21937,odstųpati,,v.tr. ipf.,
21941,odstųpiti,,v.intr. pf.,
21942,odstųpiti,,v.intr. pf.,
21945,odstųpiti,,v.tr. pf.,
21948,odstųp,,m.,
21949,odstųp,,m.,
21950,odstųp,,m.,
21951,odstųpnik,,m.anim.,
21953,postųpati s,(+5),v.ipf.,
21954,postųpiti s,(+5),v.pf.,
21955,postųp,,m.,
21957,postųp,,m.,
21959,podstųpati k,(+3),v.intr. ipf.,
21960,podstųpiti k,(+3),v.intr. pf.,
21961,prėstųpnik,,m.anim.,
21962,prėstųpnik,,m.anim.,
21963,prėstųpny,,adj.,
21964,pristųpati k,(+3),v.intr. ipf.,
21967,pristųpiti k,(+3),v.intr. pf.,
21969,pristųp,,m.,
21973,ustųpati,,v.intr. ipf.,
21977,ustųpiti,,v.intr. pf.,
21985,izstųpati,,v.intr. ipf.,
21993,izstųpiti,,v.intr. pf.,
21994,zastųpati,,v.tr. ipf.,
21995,zastųpiti,,v.tr. pf.,
21996,sypati,,v.tr. ipf.,
21998,nasyp,,m.,
21999,ospa,,f.,
22000,osypky,,m.pl.,
22001,råzsyp,,m.,
22003,sųditi,,v.tr. ipf.,
22007,prisųđati,,v.tr. ipf.,
22008,prisųditi,,v.tr. pf.,
22009,prisųđati,,v.tr. ipf.,
22010,prisųditi,,v.tr. pf.,
22011,råzsųdòk,,m.sg.,
22012,světoběžnik,,m.anim.,
22013,prosvěćanıje,,n.,
22014,prosvěćanıje,,n.,
22015,prosvěćanıje,,f.,
22016,råzsvět,,m.,
22017,svojak,,m.anim.,
22019,svojstvo,,n.,
22020,svojevlastny,,adj.,
22021,prisvojiti,,v.tr. pf.,
22022,prisvajati,,v.tr. ipf.,
22027,tęglivy,,adj.,
22032,tęžko,,adv.,
22034,tęžko,,adv.,
22036,tęžky,,adj.,
22038,tęžko,,adv.,
22039,tęžkosť,,f.,
22041,tųgy,,adj.,
22042,tųžiti,,v.intr. ipf.,
22043,tųžiti sę,,v.refl. ipf.,
22044,natųga,,f.,
22046,pritęglivy,,adj.,
22047,protęženıje,,n.,
22048,protęžny,,adj.,
22052,iztęg,,m.,
22055,točiti,,v.tr. ipf.,
22057,točiti,,v.tr. ipf.,
22058,točiti,,v.tr. ipf.,
22059,točiti,,v.tr. ipf.,
22060,tok,,m.,
22061,tok,,m.,
22062,tekųći,,adj.,
22063,tokaŕ,,m.anim.,
22065,krvotok,,m.,
22066,iztěkati,,v.intr. ipf.,
22067,iztekti,,v.intr. pf.,
22070,iztočnik,,m.,
22073,otok,,m.,
22074,edem,,m.,
22075,potok,,m.,
22077,potok,,m.,
22079,prėdteča,,f.,
22080,pritok,,m.,
22081,pritok,,m.,
22082,proiztěkati,,v.intr. ipf.,
22084,proiztekti,,v.intr. pf.,
22086,s’tečenıje,,n.,
22090,tisknųti,,v.tr. pf.,
22091,tiskati,,v.tr. ipf.,
22093,těsnina,,f.,
22095,odtisk,,m.,
22096,odtisk,,m.,I
22097,odtisk,,m.,
22098,tykati,(tyče),v.tr. ipf.,
22099,tknųti,,v.tr. pf.,
22100,tykati,(tyče),v.tr. ipf.,
22101,tknųti,,v.tr. pf.,
22107,tykati sę,(tyče),v.refl. ipf.,
22108,tknųti sę,,v.refl. pf.,
22111,tykaḓlo,,n.,
22118,dvojtočka,,f.,
22119,dotknųti sę,,v.refl. pf.,
22120,dotykati sę,(dotyče),v.refl. ipf.,
22121,s’tyk,,m.,
22122,s’potykati sę,(s’potyče),v.refl. ipf.,
22123,s’potknųti sę,,v.refl. pf.,
22124,zatyčka,,f.,
22128,zatraćenèc,,m.anim.,
22130,tṙgati,,v.tr. ipf.,
22134,tṙgati,,v.tr. ipf.,
22136,tṙgnųti,,v.tr. pf.,
22137,tṙgnųti,,v.tr. pf.,
22139,iztṙgati,,v.tr. ipf.,
22140,iztṙgnųti,,v.tr. pf.,
22144,tvorivo,,n.,
22146,blågotvorny,,adj.,
22147,novotvor,,m.,
22148,novotvor,,m.,
22149,prėtvarjati,,v.tr. ipf.,
22150,prėtvoriti,,v.tr. pf.,
22151,pritvorstvo,,n.sg.,
22153,råztvarjati,,v.tr. ipf.,
22154,råztvoriti,,v.tr. pf.,
22155,råztvor,,m.,
22159,nauka,,n.sg.,
22161,navyk,,m.,
22162,nadobyčajny,,adj.,
22163,neuk,,m.anim.,
22164,neuk,,m.anim.,
22165,obyčajny,,adj.,
22167,umny,,adj.,
22168,umny,,adj.,
22172,nedoumıje,,n.sg.,
22173,vaga,,f.,
22175,prėvaga,,f.,
22178,uvažati,,v.tr. ipf.,
22181,valjati,,v.tr. ipf.,
22183,valjati,,v.tr. pf.,
22184,val,,m.,
22186,naval,,m.,
22188,råzvaliny,,f.pl.,
22189,vęznųti,,v.intr. ipf.,
22191,vųzèl,(vųzla),m.,
22193,vųzèl,(vųzla),m.,
22194,povęzka,,f.,
22195,podvęzka,,f.,
22197,privęzannosť,,f.,
22198,råzvęzati,(råzvęže),v.tr. pf.,
22199,råzvęzyvati,,v.tr. ipf.,
22205,s’vęzòk,,m.,
22206,s’vęzòk,,m.,
22208,vodič,,m.,
22209,vědomosť,,f.,
22211,věstnik,,m.,
22212,věstnik,,m.anim.,
22214,Blågověšćenıje,,n.sg.,
22215,Izvěstovanıje,,n.sg.,
22216,prirodovědstvo,,n.sg.,
22217,izvědy,,m.pl.,
22218,izpovědati,,v.tr. ipf.,
22219,izpověděti,(izpově),v.tr. pf.,
22220,navěđati,,v.tr. ipf.,
22221,navěditi,,v.tr. pf.,
22222,nevěža,,f.,
22224,obvěšćati,,v.tr. ipf.,
22225,obvěstiti,,v.tr. pf.,
22226,pověsť,,f.,
22227,pos’vědčiti,,v.tr. pf.,
22229,pos’vědčati,,v.tr. ipf.,
22231,prėdvěstıje,,n.,
22233,propověď,,f.,
22237,s’vědòčstvo,,n.,
22239,zavědyvati,,v.tr. ipf.,
22241,zapověď,,f.,
22243,vodovod,,m.,
22247,vojevoda,,m.anim.,
22249,dovod,,m.,
22250,obvod,,m.,
22254,prėvod,,m.,
22255,provod,,m.,
22256,provodnik,,m.anim.,
22257,provodnik,,m.anim.,
22258,provodnik,,m.,
22259,proizvodstvo,,n.sg.,
22261,proizvod,,m.,
22262,råzvod,,m.,
22263,råzvoditi sę,,v.refl. ipf.,
22264,råzvesti sę,(råzvede),v.refl. pf.,
22265,s’vod,,m.,
22267,s’vod,,m.,
22268,s’vodnik,,m.anim.,
22269,v’vodny,,adj.,
22271,v’vod,,m.,
22276,izvod,,m.,
22280,izvod,,m.,
22283,velebny,,adj.,
22284,veličstveny,,adj.,
22285,veličstvo,,n.,
22286,velikolěpny,,adj.,
22287,prėuveličati,,v.tr. ipf.,
22288,prėuveličiti,,v.tr. pf.,
22289,uveličati,,v.tr. ipf.,
22290,uveličiti,,v.tr. pf.,
22293,vòzveličivati,,v.tr. ipf.,
22294,vòzveličati,,v.tr. pf.,
22297,blågovolěti,(blågovoli),v.intr. ipf.,
22299,blågovoljny,,adj.,
22300,libovoljny,,adj.,
22302,mimovoljny,,adj.,
22303,mimovoljno,,adv.,
22304,svojevoljny,,adj.,
22308,nevolja,,f.,
22310,nevolja,,f.,
22311,nevoljnik,,m.anim.,
22314,privoljati,,v.ipf.,
22315,privoliti,,v.pf.,
22318,proizvoljny,,adj.,
22322,věritelj,,m.anim.,
22323,malověrny,,adj.,
22324,sujevěrıje,,n.,
22325,dověrny,,adj.,
22326,nevěrnik,,m.anim.,
22328,pověrıje,,n.,
22329,pověrjati,,v.tr. ipf.,
22330,pověriti,,v.tr. pf.,
22331,pověrjati,,v.tr. ipf.,
